,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
7460161,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-08,,,,,-31.0,
7460162,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-09,,,,,-22.0,
7460163,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-10,,,,,-17.0,
7460164,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-11,,,,,-29.0,
7460165,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-12,,,,,-34.0,
7460166,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-13,,,,,-33.0,
7460167,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-14,,,,,-39.0,
7460168,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-15,,,,,-38.0,
7460169,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-16,,,,,-24.0,
7460170,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-17,,,,,-20.0,
7460171,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-18,,,,,-35.0,
7460172,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-19,,,,,-33.0,
7460173,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-20,,,,,-36.0,
7460174,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-21,,,,,-30.0,
7460175,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-22,,,,,-27.0,
7460176,ZW,Zimbabwe,Mashonaland East Province,Seke,,,,ChIJE5IW13eDMRkRT99SV-beauA,2021-01-23,,,,,-14.0,
